노드링크 유형,시군구명,읍면동명,위도,경도
NODE,노원구,상계동,37.664675648,127.06500573
NODE,노원구,상계동,37.664726189,127.06465168
NODE,노원구,상계동,37.664531486,127.06498257
NODE,노원구,월계동,37.623496312,127.06851706
NODE,노원구,상계동,37.683884471,127.06551067
NODE,노원구,상계동,37.66812981,127.06444885
NODE,노원구,월계동,37.621362987,127.06926316
LINK,노원구,상계동,37.65420228,127.05741853
NODE,노원구,중계동,37.650554545,127.07648501
NODE,노원구,중계동,37.650505281,127.07693079
NODE,노원구,중계동,37.650544892,127.07698363
NODE,노원구,월계동,37.621438371,127.06949628
NODE,노원구,중계동,37.649172815,127.0768401
NODE,노원구,중계동,37.650514869,127.0765319
NODE,노원구,중계동,37.649209605,127.07650665
NODE,노원구,월계동,37.621346605,127.05915588
LINK,노원구,하계동,37.632267761,127.06720935
LINK,노원구,하계동,37.63960839,127.06927174
NODE,노원구,상계동,37.657299475,127.06666939
LINK,노원구,공릉동,37.62888308,127.0710858
LINK,노원구,상계동,37.664737923,127.07389844
NODE,노원구,하계동,37.641314799,127.07614921
NODE,노원구,상계동,37.657055633,127.06683561
NODE,노원구,상계동,37.656979041,127.06680926
NODE,노원구,중계동,37.654695474,127.07835546
LINK,노원구,상계동,37.655862042,127.06020097
NODE,노원구,중계동,37.653390587,127.07801374
NODE,노원구,상계동,37.660063062,127.06405063
NODE,노원구,상계동,37.656888678,127.06650551
LINK,노원구,중계동,37.662439879,127.07585584
LINK,노원구,하계동,37.63855093,127.06705961
NODE,노원구,하계동,37.640097136,127.07307484
NODE,노원구,상계동,37.682504496,127.05527562
NODE,노원구,하계동,37.640197464,127.07333917
LINK,노원구,상계동,37.66717687,127.05736015
NODE,노원구,상계동,37.65125617,127.06124005
LINK,노원구,월계동,37.618171096,127.05724734
LINK,노원구,중계동,37.645438332,127.06360083
LINK,노원구,공릉동,37.61872398,127.0787306
NODE,노원구,월계동,37.621328216,127.05931698
NODE,노원구,상계동,37.645425474,127.05856499
NODE,노원구,묵동,37.616638646,127.07302436
NODE,노원구,월계동,37.615692617,127.07002184
NODE,노원구,하계동,37.644315915,127.0766336
NODE,노원구,상계동,37.664588901,127.06461414
NODE,노원구,상계동,37.664788727,127.06327134
NODE,노원구,상계동,37.682522645,127.05561542
NODE,노원구,상계동,37.665139465,127.06214602
NODE,노원구,상계동,37.6836945,127.05529378
NODE,노원구,상계동,37.664916846,127.06334054
NODE,노원구,상계동,37.665267614,127.06215764
NODE,노원구,상계동,37.645159037,127.05848997
NODE,노원구,상계동,37.645618892,127.05713787
NODE,노원구,공릉동,37.616860382,127.07277188
NODE,노원구,상계동,37.683694343,127.05562781
LINK,노원구,상계동,37.661356145,127.05837534
LINK,노원구,공릉동,37.624750655,127.08917707
LINK,노원구,공릉동,37.617877007,127.07557363
NODE,노원구,하계동,37.644332789,127.07629551
LINK,노원구,상계동,37.667554415,127.05708607
NODE,노원구,하계동,37.635643999,127.06799225
NODE,노원구,중계동,37.651666863,127.07294
NODE,노원구,중계동,37.650784215,127.07472832
NODE,노원구,중계동,37.65060931,127.07472521
NODE,노원구,중계동,37.65129369,127.07300416
NODE,노원구,중계동,37.651459146,127.07320084
NODE,노원구,중계동,37.650254565,127.07139288
NODE,노원구,중계동,37.650417922,127.07120825
LINK,노원구,월계동,37.614951133,127.06482471
NODE,노원구,중계동,37.649188593,127.069844
NODE,노원구,중계동,37.654875388,127.07442881
NODE,노원구,중계동,37.654918896,127.07416775
NODE,노원구,중계동,37.65456283,127.07447441
NODE,노원구,중계동,37.654528695,127.07434238
