학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계,어린이보호구역여부,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
나무미술교습소,서울특별시 노원구 중계로12가길 2,37.6473163,127.0821096,32,9,0.0,9.0,109.0,4958.0,28.0,35.0,2.0
이보영의토킹클럽노원마들보습학원,서울특별시 노원구 동일로 1550,37.6669174,127.0575806,140,82,0.0,82.0,94.0,3902.0,29.0,67.0,5.0
상계벽산해법영어교습소,서울특별시 노원구 한글비석로 396,37.6614765,127.0728242,14,7,0.0,7.0,66.0,2575.0,67.0,84.0,13.0
청백해법수학교습소,서울특별시 노원구 월계로45가길 89,37.6317699,127.0501857,14,7,0.0,7.0,7.0,316.0,2.0,15.0,1.0
울림피아노교습소,서울특별시 노원구 한글비석로 396,37.6614765,127.0728242,16,4,0.0,4.0,66.0,2578.0,67.0,84.0,13.0
이해와지혜학원,서울특별시 노원구 한글비석로 271,37.6519943,127.0770251,150,74,0.0,74.0,479.0,60430.0,58.0,73.0,3.0
화랑점해법수학교습소,서울특별시 노원구 화랑로51길 78,37.6257733,127.0873569,10,5,0.0,5.0,47.0,1004.0,19.0,78.0,11.0
아름무용나라무용학원,서울특별시 노원구 덕릉로 669,37.6573787,127.074582,117,51,0.0,51.0,84.0,4626.0,50.0,76.0,7.0
올킬수학?과학학원,서울특별시 노원구 노원로22길 70,37.6468287,127.0728289,50,72,0.0,50.0,187.0,22565.0,26.0,56.0,5.0
아인피아노교습소,서울특별시 노원구 동일로241길 53,37.6773841,127.0531484,15,3,0.0,3.0,35.0,1022.0,46.0,12.0,7.0
크레용미술학원,서울특별시 노원구 덕릉로73길 18,37.6521826,127.0724569,50,69,0.0,50.0,363.0,51573.0,43.0,73.0,1.0
반디독서실,서울특별시 노원구 덕릉로73길 18,37.6521826,127.0724569,110,156,0.0,110.0,363.0,51513.0,43.0,73.0,1.0
수아인수학학원,서울특별시 노원구 한글비석로8길 16,37.6472756,127.0779151,90,85,0.0,85.0,410.0,57261.0,53.0,57.0,2.0
