,Unnamed: 0,도로명주소,업태구분명,좌표
717,717,"서울특별시 광진구 아차산로51길 98, 1층 (구의동)",커피숍,"37.5396332, 127.084892"
720,720,"서울특별시 광진구 용마산로7길 29, 1층 (중곡동)",커피숍,"37.5594652, 127.0859312"
723,723,"서울특별시 광진구 광나루로 385, 1층 (군자동)",패스트푸드,"37.54006, 127.09724"
724,724,"서울특별시 광진구 뚝섬로 585, 1층 (자양동)",커피숍,"37.53347, 127.0883"
725,725,"서울특별시 광진구 아차산로29길 59, 1층 (화양동)",일반조리판매,"37.5425828, 127.0689288"
726,726,"서울특별시 광진구 면목로 67, 1층 (중곡동)",일반조리판매,"37.5671595, 127.0819519"
729,729,"서울특별시 광진구 동일로4길 8, 1층 (자양동)",일반조리판매,"37.5353403, 127.0643111"
730,730,"서울특별시 광진구 영화사로 75-1, 1층 (구의동)",커피숍,"37.5546912, 127.0962488"
731,731,"서울특별시 광진구 능동로 147-1, 3층 (화양동)",커피숍,"37.5424924, 127.071777"
732,732,"서울특별시 광진구 구의로 6, 지하1층 (구의동)",기타 휴게음식점,"37.537839, 127.089116"
733,733,"서울특별시 광진구 능동로47길 30, 1층 (중곡동)",일반조리판매,"37.5633468, 127.0813451"
734,734,"서울특별시 광진구 천호대로 798-8, 3층 (광장동)",커피숍,"37.5462006, 127.1011349"
735,735,"서울특별시 광진구 동일로20길 89, 2층 (자양동, 외1필지)",커피숍,"37.5405118, 127.0668855"
736,736,"서울특별시 광진구 자양로43길 146, 1층 (중곡동)",일반조리판매,"37.5511317, 127.0910025"
737,737,"서울특별시 광진구 뚝섬로 620, 1층 (자양동)",편의점,"37.53347, 127.0883"
738,738,"서울특별시 광진구 광장로 71-1, 1층 (광장동)",편의점,"37.5473486, 127.1041974"
739,739,"서울특별시 광진구 동일로34길 18, 1층 (군자동)",커피숍,"37.5504665, 127.0696606"
740,740,"서울특별시 광진구 긴고랑로22길 10, 1층 (중곡동)",커피숍,"37.5606438, 127.0842583"
741,741,"서울특별시 광진구 뚝섬로 633, 1층 (자양동)",커피숍,"37.53347, 127.0883"
742,742,"서울특별시 광진구 천호대로111길 15, 1층 101호 (중곡동)",커피숍,"37.55720435, 127.08219134531842"
743,743,"서울특별시 광진구 동일로24길 28, 1층 (화양동)",일반조리판매,"37.5431081, 127.0682804"
744,744,"서울특별시 광진구 능동로 267, 1층 (군자동)",일반조리판매,"37.5340314, 127.0678046"
745,745,"서울특별시 광진구 자양로18길 95, 1층 (구의동)",커피숍,"37.5381339, 127.0865345"
746,746,"서울특별시 광진구 구의로16길 68, 1층 (구의동)",커피숍,"37.5437397, 127.0915066"
747,747,"서울특별시 광진구 아차산로 272, 더샵스타시티 지상1층 1호 (자양동)",기타 휴게음식점,"37.538418, 127.07323878135787"
